United States Power Source,Energy Production (Thousand Megawatthours)
Hydro-Electric Pumped Storage,-431.0
Other,637.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,439.0
Utility-Scale Photovoltaic,354.0
Utility-Scale Thermal,85.0
All Fuels (Utility-Scale),298906.0
Coal,119952.0
Petroleum Liquids,992.0
Petroleum Coke,564.0
Natural Gas,84207.0
Other Gases,225.0
Nuclear,59743.0
Conventional Hydroelectric,16307.0
Other Renewables,16671.0
Wind,12629.0
All Utility-Scale Solar,415.0
Utility-Scale Photovoltaic,349.0
Utility-Scale Thermal,66.0
Geothermal,1329.0
Biomass,2298.0
Hydro-Electric Pumped Storage,-378.0
Other,623.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,415.0
Utility-Scale Photovoltaic,349.0
Utility-Scale Thermal,66.0
All Fuels (Utility-Scale),293047.0
Coal,127648.0
Petroleum Liquids,930.0
Petroleum Coke,584.0
Natural Gas,72601.0
Other Gases,211.0
Nuclear,56713.0
Conventional Hydroelectric,18519.0
Other Renewables,15624.0
Wind,11642.0
All Utility-Scale Solar,335.0
Utility-Scale Photovoltaic,304.0
Utility-Scale Thermal,31.0
Geothermal,1347.0
Biomass,2300.0
Hydro-Electric Pumped Storage,-409.0
Other,626.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,335.0
Utility-Scale Photovoltaic,304.0
Utility-Scale Thermal,31.0
All Fuels (Utility-Scale),320996.0
Coal,132923.0
Petroleum Liquids,1170.0
Petroleum Coke,567.0
Natural Gas,75934.0
Other Gases,253.0
Nuclear,68584.0
Conventional Hydroelectric,22796.0
Other Renewables,18691.0
Wind,14516.0
All Utility-Scale Solar,339.0
Utility-Scale Photovoltaic,323.0
Utility-Scale Thermal,16.0
Geothermal,1390.0
Biomass,2446.0
Hydro-Electric Pumped Storage,-576.0
Other,655.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,339.0
Utility-Scale Photovoltaic,323.0
Utility-Scale Thermal,16.0
All Fuels (Utility-Scale),335062.0
Coal,136952.0
Petroleum Liquids,1652.0
Petroleum Coke,849.0
Natural Gas,80389.0
Other Gases,385.0
Nuclear,71406.0
Conventional Hydroelectric,24501.0
Other Renewables,18802.0
Wind,14729.0
All Utility-Scale Solar,300.0
Utility-Scale Photovoltaic,289.0
Utility-Scale Thermal,11.0
Geothermal,1382.0
Biomass,2391.0
Hydro-Electric Pumped Storage,-465.0
Other,590.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,300.0
Utility-Scale Photovoltaic,289.0
Utility-Scale Thermal,11.0
All Fuels (Utility-Scale),297198.0
Coal,122484.0
Petroleum Liquids,1069.0
Petroleum Coke,749.0
Natural Gas,72970.0
Other Gases,325.0
Nuclear,61483.0
Conventional Hydroelectric,20051.0
Other Renewables,17844.0
Wind,14068.0
All Utility-Scale Solar,417.0
Utility-Scale Photovoltaic,372.0
Utility-Scale Thermal,45.0
Geothermal,1236.0
Biomass,2123.0
Hydro-Electric Pumped Storage,-320.0
Other,544.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,417.0
Utility-Scale Photovoltaic,372.0
Utility-Scale Thermal,45.0
All Fuels (Utility-Scale),311828.0
Coal,129469.0
Petroleum Liquids,942.0
Petroleum Coke,837.0
Natural Gas,76765.0
Other Gases,318.0
Nuclear,62947.0
Conventional Hydroelectric,20228.0
Other Renewables,20156.0
Wind,15748.0
All Utility-Scale Solar,596.0
Utility-Scale Photovoltaic,524.0
Utility-Scale Thermal,72.0
Geothermal,1378.0
Biomass,2434.0
Hydro-Electric Pumped Storage,-462.0
Other,628.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,596.0
Utility-Scale Photovoltaic,524.0
Utility-Scale Thermal,72.0
All Fuels (Utility-Scale),286807.0
Coal,110786.0
Petroleum Liquids,950.0
Petroleum Coke,718.0
Natural Gas,70626.0
Other Gases,322.0
Nuclear,56767.0
Conventional Hydroelectric,24842.0
Other Renewables,21516.0
Wind,17468.0
All Utility-Scale Solar,640.0
Utility-Scale Photovoltaic,547.0
Utility-Scale Thermal,93.0
Geothermal,1274.0
Biomass,2133.0
Hydro-Electric Pumped Storage,-292.0
Other,570.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,640.0
Utility-Scale Photovoltaic,547.0
Utility-Scale Thermal,93.0
All Fuels (Utility-Scale),309028.0
Coal,118380.0
Petroleum Liquids,1013.0
Petroleum Coke,1136.0
Natural Gas,76244.0
Other Gases,367.0
Nuclear,62848.0
Conventional Hydroelectric,28118.0
Other Renewables,20631.0
Wind,16230.0
All Utility-Scale Solar,724.0
Utility-Scale Photovoltaic,620.0
Utility-Scale Thermal,104.0
Geothermal,1308.0
Biomass,2370.0
Hydro-Electric Pumped Storage,-334.0
Other,625.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,724.0
Utility-Scale Photovoltaic,620.0
Utility-Scale Thermal,104.0
All Fuels (Utility-Scale),343286.0
Coal,137160.0
Petroleum Liquids,992.0
Petroleum Coke,1106.0
Natural Gas,91672.0
Other Gases,349.0
Nuclear,66430.0
Conventional Hydroelectric,27051.0
Other Renewables,18256.0
Wind,13742.0
All Utility-Scale Solar,839.0
Utility-Scale Photovoltaic,717.0
Utility-Scale Thermal,122.0
Geothermal,1278.0
Biomass,2397.0
Hydro-Electric Pumped Storage,-358.0
Other,629.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,839.0
Utility-Scale Photovoltaic,717.0
Utility-Scale Thermal,122.0
All Fuels (Utility-Scale),380108.0
Coal,151653.0
Petroleum Liquids,1410.0
Petroleum Coke,1143.0
Natural Gas,111959.0
Other Gases,381.0
Nuclear,70539.0
Conventional Hydroelectric,26929.0
Other Renewables,15767.0
Wind,11088.0
All Utility-Scale Solar,799.0
Utility-Scale Photovoltaic,714.0
Utility-Scale Thermal,85.0
Geothermal,1337.0
Biomass,2543.0
Hydro-Electric Pumped Storage,-340.0
Other,667.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,799.0
Utility-Scale Photovoltaic,714.0
Utility-Scale Thermal,85.0
All Fuels (Utility-Scale),370943.0
Coal,148288.0
Petroleum Liquids,1033.0
Petroleum Coke,1163.0
Natural Gas,112603.0
Other Gases,376.0
Nuclear,71344.0
Conventional Hydroelectric,21389.0
Other Renewables,14562.0
Wind,9629.0
All Utility-Scale Solar,914.0
Utility-Scale Photovoltaic,815.0
Utility-Scale Thermal,99.0
Geothermal,1322.0
Biomass,2696.0
Hydro-Electric Pumped Storage,-465.0
Other,647.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,914.0
Utility-Scale Photovoltaic,815.0
Utility-Scale Thermal,99.0
All Fuels (Utility-Scale),327638.0
Coal,132047.0
Petroleum Liquids,926.0
Petroleum Coke,1046.0
Natural Gas,94193.0
Other Gases,373.0
Nuclear,65799.0
Conventional Hydroelectric,16719.0
